Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0001|src=234-60|rup=003-01,6.2500000,105748820.5690000
smlt=00|ses=0010|src=229-111|rup=001-01,5.2500000,105412150.0500000
smlt=00|ses=0002|src=234-81|rup=001-01,5.2500000,104688472.9260000
smlt=00|ses=0006|src=235-329|rup=003-01,6.2500000,104618383.5690000
smlt=00|ses=0006|src=234-13|rup=002-01,5.7500000,104081954.1070000
smlt=00|ses=0007|src=234-94|rup=001-01,5.2500000,102947886.0240000
smlt=00|ses=0003|src=234-98|rup=001-01,5.2500000,102569461.6680000
smlt=00|ses=0008|src=235-409|rup=003-01,6.2500000,100972450.3320000
smlt=00|ses=0007|src=232-29|rup=001-01,5.2500000,100722783.0490000
smlt=00|ses=0009|src=234-73|rup=004-01,6.7500000,99959846.7399000
smlt=00|ses=0002|src=232-113|rup=001-01,5.2500000,99705132.9768000
smlt=00|ses=0002|src=234-69|rup=002-01,5.7500000,98470410.7824000
smlt=00|ses=0004|src=232-41|rup=001-01,5.2500000,98459249.4713000
smlt=00|ses=0002|src=235-411|rup=001-01,5.2500000,98314736.7136000
smlt=00|ses=0008|src=229-159|rup=001-01,5.2500000,97592438.2876000
smlt=00|ses=0002|src=232-52|rup=001-01,5.2500000,97179132.7015000
smlt=00|ses=0004|src=234-106|rup=002-01,5.7500000,96610616.0620000
smlt=00|ses=0006|src=234-8|rup=002-01,5.7500000,96321224.0910000
smlt=00|ses=0001|src=234-95|rup=002-01,5.7500000,95015751.2785000
smlt=00|ses=0007|src=233-54|rup=001-01,5.2500000,94714344.9020000
smlt=00|ses=0009|src=227-193|rup=001-01,5.2500000,94170669.5029000
smlt=00|ses=0004|src=234-98|rup=001-01,5.2500000,93768493.5460000
smlt=00|ses=0006|src=227-136|rup=004-01,6.7500000,93523464.0761000
smlt=00|ses=0006|src=234-94|rup=002-01,5.7500000,93290124.7940000
smlt=00|ses=0004|src=230-322|rup=001-01,5.2500000,93127015.4169000
smlt=00|ses=0004|src=234-76|rup=001-01,5.2500000,92449565.2865000
smlt=00|ses=0008|src=232-43|rup=001-01,5.2500000,91880717.0621000
smlt=00|ses=0008|src=232-59|rup=001-01,5.2500000,91604184.3757000
smlt=00|ses=0001|src=229-166|rup=001-01,5.2500000,91365819.9762000
smlt=00|ses=0009|src=235-207|rup=001-01,5.2500000,90849642.4828000
smlt=00|ses=0001|src=232-15|rup=001-01,5.2500000,90676653.9165000
smlt=00|ses=0003|src=238-166|rup=001-01,5.2500000,90510957.1808000
smlt=00|ses=0007|src=235-308|rup=003-01,6.2500000,90344744.0215000
smlt=00|ses=0001|src=227-150|rup=003-01,6.2500000,90170536.7044000
smlt=00|ses=0003|src=235-448|rup=004-01,6.7500000,89709384.8617000
smlt=00|ses=0007|src=234-127|rup=001-01,5.2500000,89291105.8339000
smlt=00|ses=0001|src=235-371|rup=002-01,5.7500000,89283567.1159000
smlt=00|ses=0008|src=227-193|rup=001-01,5.2500000,89270482.0766000
smlt=00|ses=0009|src=235-376|rup=002-01,5.7500000,87443962.5424000
smlt=00|ses=0008|src=386-5|rup=001-01,5.2500000,87412698.5182000
smlt=00|ses=0007|src=235-497|rup=001-01,5.2500000,86081179.5312000
smlt=00|ses=0001|src=386-53|rup=001-01,5.2500000,85716311.2068000
smlt=00|ses=0002|src=232-17|rup=001-01,5.2500000,85678846.9199000
smlt=00|ses=0007|src=235-387|rup=004-01,6.7500000,84960747.4186000
smlt=00|ses=0002|src=230-344|rup=001-01,5.2500000,83182482.6300000
smlt=00|ses=0005|src=235-155|rup=001-01,5.2500000,82797114.5233000
smlt=00|ses=0005|src=235-80|rup=001-01,5.2500000,82163215.7557000
smlt=00|ses=0009|src=235-284|rup=003-01,6.2500000,80420853.2253000
smlt=00|ses=0010|src=235-224|rup=001-01,5.2500000,80069716.0025000
smlt=00|ses=0010|src=235-359|rup=003-01,6.2500000,80033687.1074000
smlt=00|ses=0007|src=227-200|rup=003-01,6.2500000,79111542.8619000
smlt=00|ses=0008|src=234-67|rup=001-01,5.2500000,79105051.5172000
smlt=00|ses=0001|src=235-228|rup=001-01,5.2500000,78721317.3285000
smlt=00|ses=0010|src=227-107|rup=001-01,5.2500000,78672793.4273000
smlt=00|ses=0002|src=227-142|rup=001-01,5.2500000,78025127.9054000
smlt=00|ses=0001|src=235-101|rup=001-01,5.2500000,77793104.8331000
smlt=00|ses=0001|src=233-93|rup=002-01,5.7500000,77204280.4255000
smlt=00|ses=0008|src=235-475|rup=001-01,5.2500000,77032362.2330000
smlt=00|ses=0008|src=235-348|rup=002-01,5.7500000,76983492.1784000
smlt=00|ses=0005|src=235-364|rup=001-01,5.2500000,76943169.8953000
smlt=00|ses=0010|src=235-487|rup=003-01,6.2500000,76855967.5930000
smlt=00|ses=0006|src=235-497|rup=001-01,5.2500000,76689086.2137000
smlt=00|ses=0009|src=227-121|rup=001-01,5.2500000,76524558.4121000
smlt=00|ses=0002|src=386-5|rup=001-01,5.2500000,76247660.5282000
smlt=00|ses=0006|src=235-486|rup=002-01,5.7500000,75464858.1662000
smlt=00|ses=0004|src=227-146|rup=001-01,5.2500000,75401321.1799000
smlt=00|ses=0006|src=235-321|rup=001-01,5.2500000,75253248.5005000
smlt=00|ses=0009|src=227-158|rup=001-01,5.2500000,74357860.8243000
smlt=00|ses=0006|src=227-114|rup=001-01,5.2500000,73741331.6895000
smlt=00|ses=0010|src=227-197|rup=004-01,6.7500000,72648105.5290000
smlt=00|ses=0009|src=238-173|rup=001-01,5.2500000,71234862.8231000
smlt=00|ses=0002|src=235-475|rup=001-01,5.2500000,69914818.2772000
smlt=00|ses=0010|src=386-38|rup=001-01,5.2500000,69554578.5523000
smlt=00|ses=0005|src=235-142|rup=001-01,5.2500000,68990740.4294000
smlt=00|ses=0001|src=235-305|rup=001-01,5.2500000,68972139.0200000
smlt=00|ses=0005|src=233-23|rup=001-01,5.2500000,68635376.8521000
smlt=00|ses=0005|src=227-106|rup=001-01,5.2500000,68323019.5113000
smlt=00|ses=0003|src=386-55|rup=001-01,5.2500000,68282947.4112000
smlt=00|ses=0009|src=235-499|rup=001-01,5.2500000,67943378.0060000
smlt=00|ses=0005|src=235-326|rup=003-01,6.2500000,67706132.8664000
smlt=00|ses=0004|src=235-500|rup=001-01,5.2500000,66915302.3591000
smlt=00|ses=0007|src=235-370|rup=001-01,5.2500000,66687496.7430000
smlt=00|ses=0006|src=227-169|rup=001-01,5.2500000,65553545.2332000
smlt=00|ses=0002|src=227-117|rup=001-01,5.2500000,65523146.4483000
smlt=00|ses=0010|src=227-141|rup=001-01,5.2500000,65447399.8600000
smlt=00|ses=0002|src=235-170|rup=001-01,5.2500000,65430739.4719000
smlt=00|ses=0004|src=235-149|rup=001-01,5.2500000,65276302.0727000
smlt=00|ses=0005|src=227-119|rup=001-01,5.2500000,65028001.9679000
smlt=00|ses=0003|src=235-206|rup=001-01,5.2500000,64937916.7941000
smlt=00|ses=0003|src=227-146|rup=002-01,5.7500000,64917557.5290000
smlt=00|ses=0008|src=227-109|rup=001-01,5.2500000,64864793.8434000
smlt=00|ses=0003|src=227-130|rup=001-01,5.2500000,62522682.4321000
smlt=00|ses=0007|src=227-126|rup=002-01,5.7500000,62310652.8039000
