Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0005|src=227-106|rup=001-01,5.2500000,114478189.3530000
smlt=00|ses=0001|src=235-305|rup=001-01,5.2500000,112991303.9560000
smlt=00|ses=0003|src=386-55|rup=001-01,5.2500000,112627860.3450000
smlt=00|ses=0009|src=235-499|rup=001-01,5.2500000,110769787.9530000
smlt=00|ses=0005|src=235-326|rup=003-01,6.2500000,110441036.6070000
smlt=00|ses=0007|src=235-370|rup=001-01,5.2500000,109603042.8080000
smlt=00|ses=0004|src=235-500|rup=001-01,5.2500000,109494184.2390000
smlt=00|ses=0002|src=235-170|rup=001-01,5.2500000,108782330.6600000
smlt=00|ses=0010|src=227-141|rup=001-01,5.2500000,108673304.2500000
smlt=00|ses=0006|src=227-169|rup=001-01,5.2500000,108580043.4620000
smlt=00|ses=0002|src=227-117|rup=001-01,5.2500000,107195357.0460000
smlt=00|ses=0005|src=233-23|rup=001-01,5.2500000,107038875.7620000
smlt=00|ses=0008|src=227-109|rup=001-01,5.2500000,106823124.5860000
smlt=00|ses=0005|src=227-119|rup=001-01,5.2500000,106716860.7450000
smlt=00|ses=0003|src=235-206|rup=001-01,5.2500000,106440677.7620000
smlt=00|ses=0003|src=227-146|rup=002-01,5.7500000,106400232.4850000
smlt=00|ses=0004|src=235-149|rup=001-01,5.2500000,106399863.0710000
smlt=00|ses=0005|src=235-142|rup=001-01,5.2500000,104471929.5890000
smlt=00|ses=0003|src=227-130|rup=001-01,5.2500000,101551607.7400000
smlt=00|ses=0007|src=227-126|rup=002-01,5.7500000,101195602.3310000
smlt=00|ses=0006|src=227-105|rup=003-01,6.2500000,100255516.9270000
smlt=00|ses=0010|src=233-11|rup=001-01,5.2500000,99942251.6120000
smlt=00|ses=0009|src=235-282|rup=001-01,5.2500000,99262164.2223000
smlt=00|ses=0001|src=227-204|rup=001-01,5.2500000,98874813.3717000
smlt=00|ses=0005|src=233-69|rup=001-01,5.2500000,98101701.1618000
smlt=00|ses=0003|src=235-350|rup=003-01,6.2500000,98098810.3044000
smlt=00|ses=0006|src=386-47|rup=001-01,5.2500000,98089268.6936000
smlt=00|ses=0006|src=386-56|rup=002-01,5.7500000,97545945.8900000
smlt=00|ses=0006|src=374-255|rup=001-01,5.2500000,96742309.3787000
smlt=00|ses=0005|src=235-465|rup=001-01,5.2500000,96574191.6854000
smlt=00|ses=0005|src=235-91|rup=001-01,5.2500000,94874112.0097000
smlt=00|ses=0010|src=235-322|rup=002-01,5.7500000,94666442.3604000
smlt=00|ses=0002|src=235-79|rup=001-01,5.2500000,94485865.5266000
smlt=00|ses=0003|src=227-113|rup=001-01,5.2500000,93064255.9299000
smlt=00|ses=0010|src=227-124|rup=001-01,5.2500000,92582602.9900000
